"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"서울특별시","여자","72세","주민등록연앙인구","","50612",
"서울특별시","여자","73세","주민등록연앙인구","","44543.5",
"서울특별시","여자","74세","주민등록연앙인구","","38675.5",
"서울특별시","여자","75세","주민등록연앙인구","","40987.5",
"서울특별시","여자","76세","주민등록연앙인구","","40831",
"서울특별시","여자","77세","주민등록연앙인구","","40855",
"서울특별시","여자","78세","주민등록연앙인구","","37192",
"서울특별시","여자","79세","주민등록연앙인구","","30829.5",
"서울특별시","여자","80세 이상","주민등록연앙인구","","251728.5",
"서울특별시","여자","80세","주민등록연앙인구","","28482",
"서울특별시","여자","81세","주민등록연앙인구","","27811.5",
"서울특별시","여자","82세","주민등록연앙인구","","29289.5",
"서울특별시","여자","83세","주민등록연앙인구","","27764.5",
"서울특별시","여자","84세","주민등록연앙인구","","22452",
"서울특별시","여자","85세 이상","주민등록연앙인구","","115929",
"서울특별시","여자","85세","주민등록연앙인구","","20005.5",
"서울특별시","여자","86세","주민등록연앙인구","","17841.5",
"서울특별시","여자","87세","주민등록연앙인구","","15244.5",
"서울특별시","여자","88세","주민등록연앙인구","","13097",
"서울특별시","여자","89세","주민등록연앙인구","","11240.5",
"서울특별시","여자","90세","주민등록연앙인구","","9272.5",
"서울특별시","여자","91세","주민등록연앙인구","","7229",
"서울특별시","여자","92세","주민등록연앙인구","","5693.5",
"서울특별시","여자","93세","주민등록연앙인구","","4379.5",
"서울특별시","여자","94세","주민등록연앙인구","","3297",
"서울특별시","여자","95세","주민등록연앙인구","","2671",
"서울특별시","여자","96세","주민등록연앙인구","","1981.5",
"서울특별시","여자","97세","주민등록연앙인구","","1439",
"서울특별시","여자","98세","주민등록연앙인구","","933.5",
"서울특별시","여자","99세","주민등록연앙인구","","547.5",
"서울특별시","여자","100세 이상","주민등록연앙인구","","1056",
"종로구","남자","계","주민등록연앙인구","","65226.5",
"종로구","남자","0세","주민등록연앙인구","","227",
"종로구","남자","1세","주민등록연앙인구","","221",
"종로구","남자","2세","주민등록연앙인구","","225",
"종로구","남자","3세","주민등록연앙인구","","244.5",
"종로구","남자","4세","주민등록연앙인구","","241",
"종로구","남자","5세","주민등록연앙인구","","256.5",
"종로구","남자","6세","주민등록연앙인구","","263.5",
"종로구","남자","7세","주민등록연앙인구","","290.5",
"종로구","남자","8세","주민등록연앙인구","","345.5",
"종로구","남자","9세","주민등록연앙인구","","391",
"종로구","남자","10세","주민등록연앙인구","","393.5",
"종로구","남자","11세","주민등록연앙인구","","377.5",
"종로구","남자","12세","주민등록연앙인구","","438",
"종로구","남자","13세","주민등록연앙인구","","433.5",
"종로구","남자","14세","주민등록연앙인구","","442",
"종로구","남자","15세","주민등록연앙인구","","462",
"종로구","남자","16세","주민등록연앙인구","","441.5",
"종로구","남자","17세","주민등록연앙인구","","497",
"종로구","남자","18세","주민등록연앙인구","","507",
"종로구","남자","19세","주민등록연앙인구","","533.5",
"종로구","남자","20세","주민등록연앙인구","","576.5",
"종로구","남자","21세","주민등록연앙인구","","618",
"종로구","남자","22세","주민등록연앙인구","","701",
"종로구","남자","23세","주민등록연앙인구","","820",
"종로구","남자","24세","주민등록연앙인구","","1024",
"종로구","남자","25세","주민등록연앙인구","","1108.5",
"종로구","남자","26세","주민등록연앙인구","","1083",
"종로구","남자","27세","주민등록연앙인구","","1151",
"종로구","남자","28세","주민등록연앙인구","","1221",
"종로구","남자","29세","주민등록연앙인구","","1244.5",
"종로구","남자","30세","주민등록연앙인구","","1193",
"종로구","남자","31세","주민등록연앙인구","","1189.5",
"종로구","남자","32세","주민등록연앙인구","","1178.5",
"종로구","남자","33세","주민등록연앙인구","","1144.5",
"종로구","남자","34세","주민등록연앙인구","","1008",
"종로구","남자","35세","주민등록연앙인구","","911",
"종로구","남자","36세","주민등록연앙인구","","835",
"종로구","남자","37세","주민등록연앙인구","","784.5",
"종로구","남자","38세","주민등록연앙인구","","752",
"종로구","남자","39세","주민등록연앙인구","","791",
"종로구","남자","40세","주민등록연앙인구","","806.5",
"종로구","남자","41세","주민등록연앙인구","","855.5",
"종로구","남자","42세","주민등록연앙인구","","925.5",
"종로구","남자","43세","주민등록연앙인구","","946.5",
"종로구","남자","44세","주민등록연앙인구","","915.5",
"종로구","남자","45세","주민등록연앙인구","","894",
"종로구","남자","46세","주민등록연앙인구","","866",
"종로구","남자","47세","주민등록연앙인구","","801.5",
"종로구","남자","48세","주민등록연앙인구","","840.5",
"종로구","남자","49세","주민등록연앙인구","","882.5",
"종로구","남자","50세","주민등록연앙인구","","936.5",
"종로구","남자","51세","주민등록연앙인구","","1015",
"종로구","남자","52세","주민등록연앙인구","","1085.5",
"종로구","남자","53세","주민등록연앙인구","","1227",
"종로구","남자","54세","주민등록연앙인구","","1252.5",
"종로구","남자","55세","주민등록연앙인구","","1201.5",
"종로구","남자","56세","주민등록연앙인구","","1174",
"종로구","남자","57세","주민등록연앙인구","","1097.5",
"종로구","남자","58세","주민등록연앙인구","","1049.5",
"종로구","남자","59세","주민등록연앙인구","","1039",
"종로구","남자","60세","주민등록연앙인구","","1083",
"종로구","남자","61세","주민등록연앙인구","","1073.5",
"종로구","남자","62세","주민등록연앙인구","","1119.5",
"종로구","남자","63세","주민등록연앙인구","","1150",
"종로구","남자","64세","주민등록연앙인구","","1083",
"종로구","남자","65세","주민등록연앙인구","","1047",
"종로구","남자","66세","주민등록연앙인구","","987.5",
"종로구","남자","67세","주민등록연앙인구","","950.5",
"종로구","남자","68세","주민등록연앙인구","","914.5",
"종로구","남자","69세","주민등록연앙인구","","881",
"종로구","남자","70세","주민등록연앙인구","","818.5",
"종로구","남자","71세","주민등록연앙인구","","679.5",
"종로구","남자","72세","주민등록연앙인구","","667",
"종로구","남자","73세","주민등록연앙인구","","563.5",
"종로구","남자","74세","주민등록연앙인구","","452",
"종로구","남자","75세","주민등록연앙인구","","491.5",
"종로구","남자","76세","주민등록연앙인구","","500.5",
"종로구","남자","77세","주민등록연앙인구","","501.5",
"종로구","남자","78세","주민등록연앙인구","","459.5",
"종로구","남자","79세","주민등록연앙인구","","379",
"종로구","남자","80세 이상","주민등록연앙인구","","3047",
"종로구","남자","80세","주민등록연앙인구","","355.5",
"종로구","남자","81세","주민등록연앙인구","","349.5",
"종로구","남자","82세","주민등록연앙인구","","373.5",
"종로구","남자","83세","주민등록연앙인구","","352.5",
