학교명,주소,위도,경도
국제고등학교,광주광역시 북구 설죽로 433,35.19911446,126.8956123
군북고등학교,경상남도 함안군 군북면 사군로 1558,35.25959757,128.3435335
군산고등학교,전라북도 군산시 팔마로 177,35.97394441,126.7195894
군산기계공업고등학교,전라북도 군산시 군중길 28,35.97728004,126.7003422
군산동고등학교,전라북도 군산시 달여길 50,35.97056499,126.767976
군산상업고등학교,전라북도 군산시 석치1길 17,35.97468767,126.7000666
군산여자고등학교,전라북도 군산시 월명1길 16,35.98514231,126.7033183
군산여자상업고등학교,전라북도 군산시 신지길 42-8,35.95745391,126.7075576
군산영광여자고등학교,전라북도 군산시 둔배미길 21,35.98267659,126.7148654
군산제일고등학교,전라북도 군산시 경기장로 142,35.97273147,126.7490296
군산중앙고등학교,전라북도 군산시 성산면 군장대길 13,36.00197655,126.7849803
군산중앙여자고등학교,전라북도 군산시 축동2길 27,35.96817267,126.7114926
군서고등학교,경기도 시흥시 군서마을로 100,37.34918175,126.7425023
군위고등학교,경상북도 군위군 군위읍 군청로 254-6,36.24547463,128.5697899
군자디지털과학고등학교,경기도 시흥시 군자로487번길 54,37.35053779,126.7860428
군포e비즈니스고등학교,경기도 군포시 수리산로 153,37.36305308,126.9185422
군포고등학교,경기도 군포시 오금로 118,37.35760393,126.9404491
군포중앙고등학교,경기도 군포시 송부로 239,37.32397274,126.9372177
권선고등학교,경기도 수원시 권선구 세권로 276,37.25278194,127.0333651
근명고등학교,경기도 안양시 만안구 삼덕로 49,37.39354124,126.9200136
근화여자고등학교,경상북도 경주시 승삼2길 55,35.87058466,129.2273172
금곡고등학교,경기도 남양주시 경춘로992번길 10,37.63309159,127.2129487
금곡고등학교,부산광역시 북구 화명신도시로 236,35.2443532,129.0119466
금남고등학교,경상남도 하동군 금남면 섬진강대로 656-8,34.98602065,127.8398053
금명여자고등학교,부산광역시 북구 양달로 101,35.24429037,129.0246
